time_ms,emg_value
1762983996885,1894.0
1762983996886,1712.0
1762983996887,1525.0
1762983996888,1859.0
1762983996889,1724.0
1762983996890,1647.0
1762983996891,1328.0
1762983996892,1280.0
1762983996893,1182.0
1762983996894,1287.0
1762983996895,1443.0
1762983996896,1306.0
1762983996897,848.0
1762983996898,731.0
1762983996899,738.0
1762983996900,725.0
1762983996901,511.0
1762983996902,475.0
1762983996903,450.0
1762983996904,453.0
1762983996905,417.0
1762983996906,349.0
1762983996907,353.0
1762983996908,415.0
1762983996909,347.0
1762983996910,282.0
1762983996911,332.0
1762983996912,320.0
1762983996913,304.0
1762983996914,398.0
1762983996915,454.0
1762983996916,427.0
1762983996917,368.0
1762983996918,451.0
1762983996919,387.0
1762983996920,432.0
1762983996921,351.0
1762983996922,355.0
1762983996923,400.0
1762983996924,398.0
1762983996925,425.0
1762983996926,487.0
1762983996927,485.0
1762983996928,603.0
1762983996929,550.0
1762983996930,1082.0
1762983996931,1531.0
1762983996932,1467.0
1762983996933,2080.0
1762983996934,3337.0
1762983996935,3667.0
1762983996936,4095.0
1762983996937,4095.0
1762983996938,4095.0
1762983996939,4095.0
1762983996940,4095.0
1762983996941,4005.0
1762983996942,2832.0
1762983996943,2608.0
1762983996944,2179.0
1762983996945,2160.0
1762983996946,1909.0
1762983996947,1677.0
1762983996948,1728.0
1762983996949,2009.0
1762983996950,2495.0
1762983996951,2127.0
1762983996952,1668.0
1762983996953,2322.0
1762983996954,2259.0
1762983996955,1930.0
1762983996956,1669.0
1762983996957,1486.0
1762983996958,1403.0
1762983996959,1295.0
1762983996960,1343.0
1762983996961,1114.0
1762983996962,1291.0
1762983996963,1282.0
1762983996964,1626.0
1762983996965,1357.0
1762983996966,1398.0
1762983996967,1741.0
1762983996968,1775.0
1762983996969,1712.0
1762983996970,1585.0
1762983996971,1584.0
1762983996972,2093.0
1762983996973,1904.0
1762983996974,1819.0
1762983996975,1761.0
1762983996976,2292.0
1762983996977,1893.0
1762983996978,1709.0
1762983996979,1673.0
1762983996980,2657.0
1762983996981,2145.0
1762983996982,2554.0
1762983996983,2689.0
1762983996984,2406.0
1762983996985,2288.0
1762983996986,1695.0
1762983996987,1728.0
1762983996988,1694.0
1762983996989,1872.0
1762983996990,2528.0
1762983996991,2898.0
1762983996992,3664.0
1762983996993,2715.0
1762983996994,2473.0
1762983996995,4095.0
1762983996996,3311.0
1762983996997,3657.0
1762983996998,3024.0
1762983996999,2897.0
1762983997000,2688.0
1762983997001,3046.0
1762983997002,3830.0
1762983997003,3616.0
1762983997004,3137.0
1762983997005,2317.0
1762983997006,2207.0
1762983997007,1874.0
1762983997008,1590.0
1762983997009,1402.0
1762983997010,1413.0
1762983997011,1853.0
1762983997012,1853.0
1762983997013,1514.0
1762983997014,1216.0
1762983997015,1611.0
1762983997016,1257.0
1762983997017,979.0
1762983997018,889.0
1762983997019,1104.0
1762983997020,1179.0
1762983997021,1334.0
1762983997022,1035.0
1762983997023,838.0
1762983997024,895.0
1762983997025,893.0
1762983997026,946.0
1762983997027,989.0
1762983997028,885.0
1762983997029,768.0
1762983997030,772.0
1762983997031,783.0
1762983997032,660.0
1762983997033,783.0
1762983997034,965.0
1762983997035,953.0
1762983997036,1014.0
1762983997037,880.0
1762983997038,921.0
1762983997039,1331.0
1762983997040,1115.0
1762983997041,1242.0
1762983997042,1187.0
1762983997043,1246.0
1762983997044,1480.0
1762983997045,2111.0
1762983997046,2883.0
1762983997047,3191.0
1762983997048,3051.0
1762983997049,2823.0
1762983997050,2352.0
1762983997051,2432.0
1762983997052,2058.0
1762983997053,1729.0
1762983997054,2235.0
1762983997055,2216.0
1762983997056,1968.0
1762983997057,2035.0
1762983997058,1857.0
1762983997059,1805.0
1762983997060,2179.0
1762983997061,1845.0
1762983997062,1854.0
1762983997063,2271.0
1762983997064,2310.0
1762983997065,2559.0
1762983997066,2321.0
1762983997067,2503.0
1762983997068,2231.0
1762983997069,2128.0
1762983997070,3161.0
1762983997071,4095.0
1762983997072,4095.0
1762983997073,4095.0
1762983997074,3424.0
1762983997075,3041.0
1762983997076,2766.0
1762983997077,2633.0
1762983997078,3057.0
1762983997079,3180.0
1762983997080,3378.0
1762983997081,2841.0
1762983997082,3036.0
1762983997083,3341.0
1762983997084,2831.0
1762983997085,2819.0
1762983997086,3398.0
1762983997087,3583.0
1762983997088,2885.0
1762983997089,2251.0
1762983997090,2295.0
1762983997091,2214.0
1762983997092,3414.0
1762983997093,2358.0
1762983997094,2487.0
1762983997095,2075.0
1762983997096,1747.0
1762983997097,1680.0
1762983997098,1849.0
1762983997099,1887.0
1762983997100,1819.0
1762983997101,1887.0
1762983997102,1759.0
1762983997103,1535.0
1762983997104,1389.0
1762983997105,1253.0
1762983997106,1136.0
1762983997107,1277.0
1762983997108,1287.0
1762983997109,1585.0
1762983997110,1475.0
1762983997111,1535.0
1762983997112,1456.0
1762983997113,1618.0
1762983997114,1565.0
1762983997115,1447.0
1762983997116,1408.0
1762983997117,1303.0
1762983997118,1275.0
1762983997119,1418.0
1762983997120,1733.0
1762983997121,1613.0
1762983997122,1535.0
1762983997123,1350.0
1762983997124,1422.0
1762983997125,1410.0
1762983997126,1162.0
1762983997127,1066.0
1762983997128,944.0
1762983997129,951.0
1762983997130,948.0
1762983997131,939.0
1762983997132,1189.0
1762983997133,1306.0
1762983997134,1206.0
1762983997135,1212.0
1762983997136,1002.0
1762983997137,994.0
1762983997138,982.0
1762983997139,954.0
1762983997140,1131.0
1762983997141,1232.0
1762983997142,1320.0
1762983997143,1119.0
1762983997144,1008.0
1762983997145,917.0
1762983997146,1213.0
1762983997147,1132.0
1762983997148,870.0
1762983997149,951.0
1762983997150,949.0
1762983997151,943.0
1762983997152,833.0
1762983997153,868.0
1762983997154,902.0
1762983997155,941.0
1762983997156,966.0
1762983997157,1127.0
1762983997158,1116.0
1762983997159,1409.0
1762983997160,1622.0
1762983997161,1684.0
1762983997162,1586.0
1762983997163,1573.0
1762983997164,2005.0
1762983997165,2198.0
1762983997166,2738.0
1762983997167,3013.0
1762983997168,3740.0
1762983997169,2626.0
1762983997170,2163.0
1762983997171,2115.0
1762983997172,2253.0
1762983997173,2112.0
1762983997174,1889.0
1762983997175,1754.0
1762983997176,1774.0
1762983997177,2032.0
1762983997178,1919.0
1762983997179,1759.0
1762983997180,1669.0
1762983997181,1682.0
1762983997182,1860.0
1762983997183,1830.0
1762983997184,1897.0
1762983997185,1699.0
1762983997186,2368.0
1762983997187,2064.0
1762983997188,1797.0
1762983997189,1765.0
1762983997190,1596.0
1762983997191,1506.0
1762983997192,1708.0
1762983997193,1693.0
1762983997194,1623.0
1762983997195,1584.0
1762983997196,1485.0
1762983997197,1462.0
1762983997198,1895.0
1762983997199,3083.0
1762983997200,3062.0
1762983997201,2678.0
1762983997202,2384.0
1762983997203,2704.0
1762983997204,2656.0
1762983997205,2686.0
1762983997206,3010.0
1762983997207,3707.0
1762983997208,4095.0
1762983997209,3489.0
1762983997210,2681.0
1762983997211,3363.0
1762983997212,4095.0
1762983997213,3857.0
1762983997214,2951.0
1762983997215,2436.0
1762983997216,3069.0
1762983997217,2628.0
1762983997218,2429.0
1762983997219,1946.0
1762983997220,1603.0
1762983997221,1424.0
1762983997222,1319.0
1762983997223,1213.0
1762983997224,720.0
1762983997225,480.0
1762983997226,295.0
1762983997227,201.0
1762983997228,139.0
1762983997229,98.0
1762983997230,70.0
1762983997231,37.0
1762983997232,31.0
1762983997233,16.0
1762983997234,15.0
1762983997235,12.0
1762983997236,8.0
1762983997237,9.0
1762983997238,7.0
1762983997239,10.0
1762983997240,6.0
1762983997241,6.0
1762983997242,4.0
1762983997243,0.0
1762983997244,2.0
1762983997245,11.0
1762983997246,26.0
1762983997247,253.0
1762983997248,1189.0
1762983997249,2302.0
1762983997250,1932.0
1762983997251,2197.0
1762983997252,3117.0
1762983997253,4095.0
1762983997254,3419.0
1762983997255,3061.0
1762983997256,2940.0
1762983997257,2410.0
1762983997258,2194.0
1762983997259,2230.0
1762983997260,2293.0
1762983997261,2881.0
1762983997262,2288.0
1762983997263,3263.0
1762983997264,2742.0
1762983997265,3489.0
1762983997266,3245.0
1762983997267,4095.0
1762983997268,4095.0
1762983997269,4095.0
1762983997270,4095.0
1762983997271,4095.0
1762983997272,4095.0
1762983997273,4095.0
1762983997274,4094.0
1762983997275,4095.0
1762983997276,3514.0
1762983997277,3298.0
1762983997278,3228.0
1762983997279,3059.0
1762983997280,3255.0
1762983997281,2823.0
1762983997282,2798.0
1762983997283,2913.0
1762983997284,3194.0
1762983997285,2961.0
1762983997286,2346.0
1762983997287,2080.0
1762983997288,2273.0
1762983997289,2433.0
1762983997290,2599.0
1762983997291,3011.0
1762983997292,2579.0
1762983997293,2274.0
1762983997294,2112.0
1762983997295,2262.0
1762983997296,2464.0
1762983997297,2498.0
1762983997298,2225.0
1762983997299,2094.0
1762983997300,1904.0
1762983997301,1904.0
1762983997302,1923.0
1762983997303,1695.0
1762983997304,1535.0
1762983997305,2114.0
1762983997306,1535.0
1762983997307,1219.0
1762983997308,1454.0
1762983997309,1358.0
1762983997310,1259.0
1762983997311,1296.0
1762983997312,1247.0
1762983997313,928.0
1762983997314,1079.0
1762983997315,1293.0
1762983997316,967.0
1762983997317,1008.0
1762983997318,1229.0
1762983997319,1114.0
1762983997320,1219.0
1762983997321,1135.0
1762983997322,1081.0
1762983997323,1047.0
1762983997324,916.0
1762983997325,854.0
1762983997326,885.0
1762983997327,852.0
1762983997328,827.0
1762983997329,901.0
1762983997330,730.0
1762983997331,875.0
1762983997332,628.0
1762983997333,661.0
1762983997334,591.0
